japanese,romaji,english,source_category,source_exercise
女の人,onna no hito,woman,listening,1
男の人,otoko no hito,man,listening,1
話す,hanasu,to speak,listening,1
コート: coat,,,listening,1
どれ: which,,,listening,1
先に,saki ni,"before, ahead, earlier than",listening,1
帰る,kaeru,"to return, to go home",listening,1
白い,shiroi,white,listening,1
長い,nagai,"long, lengthy",listening,1
ポケット: pocket,,,listening,1
テーブル: table,,,listening,1
成る,naru,to become,listening,1
お皿,osara,"plate, dish",listening,1
並べる,naraberu,"to line up, to set up",listening,1
大きい,ookii,"big, large",listening,1
置く,oku,"to put, to place",listening,1
右側,migigawa,"right side, right hand",listening,1
ナイフ: knife,,,listening,1
左側,hidarigawa,"left, left hand side",listening,1
フォーク: fork,,,listening,1
お箸,ohashi,chopsticks,listening,1
隣,tonari,"neighbor, next to",listening,1
コーヒーカップ: coffee cup,,,listening,1
電話,denwa,telephone,listening,1
家,ie,"house, residence",listening,1
どこ: where,,,listening,1
もしもし: hello (on phone),,,listening,1
駅,eki,station,listening,1
着く,tsuku,"to arrive at, to reach",listening,1
行く,iku,"to go, to proceed",listening,1
道,michi,"way, path, route",listening,1
教える,oshieru,"to teach, to instruct",listening,1
出る,deru,"to go out, to exit",listening,1
橋,hashi,bridge,listening,1
渡る,wataru,"to cross over, to go across",listening,1
右,migi,"right, right hand side",listening,1
曲がる,magaru,"to turn, to twist",listening,1
公園,kouen,(public) park,listening,1
前,mae,in front of,listening,1
分かる,wakaru,to be understood,listening,1
いつ: when,,,listening,1
買い物,kaimono,shopping,listening,1
来月,raigetsu,next month,listening,1
二日,futsuka,"second day of the month, two days",listening,1
八日,youka,"eight day of the month, eight days",listening,1
海,umi,"sea, beach",listening,1
近く,chikaku,"near, neighborhood, vicinity",listening,1
旅行,ryokou,"travel, trip",listening,1
見る,miru,"to see, to look",listening,1
本,hon,book,listening,1
読む,yomu,to read,listening,1
美味しい,oishii,"delicious, tasty",listening,1
物,mono,"thing, object",listening,1
食べる,taberu,to eat,listening,1
日,hi,"day, sun",listening,1
部屋,heya,room,listening,1
今,ima,now,listening,1
"みんな: everyone, everybody",,,listening,1
待つ,matsu,"to wait, to look forward to",listening,1
"アパート: apartment building, apartment",,,listening,1
三階,sankai,third floor,listening,1
階段,kaidan,"stairway, staircase",listening,1
上る,noboru,"to ascend, to go up to",listening,1
すぐ: right (near),,,listening,1
近い,chikai,"near, close",listening,1
冷蔵庫,reizouko,refrigerator,listening,2
何,nani,what,listening,2
入れる,ireru,"to put in, to let in",listening,2
果物,kudamono,fruit,listening,2
お菓子,okashi,"sweets, candy",listening,2
上,ue,"on, above",listening,2
ビール: beer,,,listening,2
温かい,atatakai,"warm, mild",listening,2
パーティー: party,,,listening,2
時間,jikan,"time, hours",listening,2
一緒に,issho ni,together with,listening,2
先生,sensei,"teacher, master",listening,2
生徒,seito,student,listening,2
右手,migite,right hand,listening,2
右脇,migiwaki,right armpit,listening,2
持つ,motsu,"to hold, to carry, to possess",listening,2
高い,takai,"high, tall",listening,2
挙げる,ageru,"to raise, to elevate",listening,2
"ゆっくり: slowly, at ease",,,listening,2
次,tsugi,"next, following",listening,2
左,hidari,"left, left hand side",listening,2
手,te,hand,listening,2
"まっすぐ: straight, upright",,,listening,2
横に,yoko ni,horizontally,listening,2
写真,shashin,"photograph, photo",listening,2
建物,tatemono,building,listening,2
撮る,toru,to take (a photo),listening,2
全部,zenbu,"all, entire",listening,2
入る,hairu,"to contain, to hold",listening,2
入り口,iriguchi,"entrance, gate",listening,2
今月,kongetsu,this month,listening,2
カレンダー: calendar,,,listening,2
来週,raishuu,next week,listening,2
金曜日,kin&#8217;youbi,Friday,listening,2
十日,tooka,"tenth day of the month, ten days",listening,2
忙しい,isogashii,"busy, occupied",listening,2
先月,sengetsu,last month,listening,2
本当,hontou,"truth, reality",listening,2
二人,futari,"two person, two people, pair",listening,2
店,mise,"shop, store",listening,2
スカート: skirt,,,listening,2
いかが: how about,,,listening,2
同じ,onaji,"same, identical",listening,2
形,katachi,"form, shape, figure",listening,2
他に,hoka ni,"in addition, besides",listening,2
黒,kuro,black,listening,2
灰色,haiiro,grey,listening,2
赤,aka,red,listening,2
病院,byouin,hospital,listening,3
"また: again, also, still",,,listening,3
明日,ashita,tomorrow,listening,3
来る,kuru,"to come, to arrive",listening,3
木曜日,mokuyoubi,Thursday,listening,3
明後日,asatte,day after tomorrow,listening,3
水曜日,suiyoubi,Wednesday,listening,3
土曜日,doyoubi,Saturday,listening,3
何日,nannichi,"what day, how many days",listening,3
プール: swimming pool,,,listening,3
"よく: frequently, often",,,listening,3
一週間,isshuukan,one week,listening,3
三日,mikka,"third day of the month, three days",listening,3
泳ぐ,oyogu,to swim,listening,3
仕事,shigoto,"work, job",listening,3
一日,ichinichi,one day,listening,3
昨日,kinou,yesterday,listening,3
何時,nanji,what time,listening,3
レストラン: restaurant,,,listening,3
働く,hataraku,"to work, to labor",listening,3
時々,tokidoki,"sometimes, at times",listening,3
遅い,osoi,"slow, late",listening,3
"いつも: always, usually",,,listening,3
昼,hiru,"noon, daytime",listening,3
夜,yoru,"evening, night",listening,3
夕方,yuugata,evening,listening,3
大変,taihen,"terrible, difficult, hard",listening,3
好き,suki,"liking, fondness, love",listening,3
午後,gogo,"afternoon, p.m.",listening,3
お酒,osake,"alcohol, sake",listening,3
遠い,tooi,"far, distant",listening,3
不便,fuben,"inconvenience, unhandiness",listening,3
学校,gakkou,school,listening,3
便利,benri,"convenient, useful",listening,3
"いい: good, excellent",,,listening,3
"うるさい: noisy, loud",,,listening,3
"とても: very, awfully",,,listening,3
静か,shizuka,"quiet, peaceful",listening,3
取る,toru,"to take, to pick up",listening,4
下,shita,"below, down, under",listening,4
これ: this,,,listening,4
それ: that,,,listening,4
箱,hako,box,listening,4
男の子,otoko no ko,boy,listening,4
お母さん,okaasan,mother,listening,4
渡す,watasu,"to pass, to give",listening,4
被る,kaburu,to wear (on head),listening,4
どうして: why,,,listening,4
風邪,kaze,cold (illness),listening,4
皆さん,minasan,"everyone, everybody",listening,4
飲み物,nomimono,"drink, beverage",listening,4
忘れる,wasureru,to forget,listening,4
それから: and then,,,listening,4
雨,ame,rain,listening,4
降る,furu,to fall (rain),listening,4
傘,kasa,umbrella,listening,4
女の子,onna no ko,girl,listening,4
財布,saifu,"wallet, purse",listening,4
買う,kau,to buy,listening,4
色,iro,color,listening,4
丸い,marui,"round, circular",listening,4
可愛い,kawaii,"cute, adorable",listening,4
外国語,gaikokugo,foreign language,listening,4
国,kuni,country,listening,4
そっち: there,,,listening,4
日本,nihon,Japan,listening,4
こっち: here,,,listening,4
毎日,mainichi,every day,listening,5
会社,kaisha,"company, workplace",listening,5
"どうやって: how, in what way, by what means",,,listening,5
自転車,jitensha,bicycle,listening,5
歩く,aruku,to walk,listening,5
少し,sukoshi,"little, few",listening,5
バス: bus,,,listening,5
お爺さん,ojiisan,grandfather,listening,5
七日,nanoka,"seventh day of the month, seven days",listening,5
違う,chigau,"to differ, to vary",listening,5
今日,kyou,"today, this day",listening,5
四日,yokka,"fourth day of the month, four days",listening,5
六日,muika,"sixth day of the month, six days",listening,5
欲しい,hoshii,in need of,listening,5
ボタン: button,,,listening,5
鍵,kagi,"key, lock",listening,5
捜す,sagasu,"to search, to seek",listening,5
椅子,isu,chair,listening,5
本棚,hondana,"bookshelf, bookcase",listening,5
ほら: look!,,,listening,5
横,yoko,"horizontal, side-to-side",listening,5
テニス: tennis,,,listening,5
楽しい,tanoshii,"enjoyable, fun",listening,5
疲れる,tsukareru,"to get tired, to be worn out",listening,5
サッカー: soccer,,,listening,5
飲む,nomu,to drink,listening,5
元気,genki,"healthy, robust",listening,5
ただいま: I&#8217;m home!,,,listening,6
牛肉,gyuuniku,beef,listening,6
豚肉,butaniku,pork,listening,6
鶏肉,toriniku,chicken meat,listening,6
頼む,tanomu,"to request, to ask",listening,6
"どんな: what, what kind of",,,listening,6
天気,tenki,weather,listening,6
寒い,samui,cold (weather),listening,6
悪い,warui,"bad, poor",listening,6
雪,yuki,snow,listening,6
"テレビ: television, TV",,,listening,6
言う,iu,to say,listening,6
晴れ,hare,clear weather,listening,6
曇り,kumori,cloudy weather,listening,6
終わる,owaru,"to finish, to end",listening,6
映画,eiga,"movie, film",listening,6
切符,kippu,ticket,listening,6
残念,zannen,"bad luck, regret",listening,6
一人で,hitori de,"alone, by oneself",listening,6
服,fuku,clothes,listening,6
誰,dare,who,listening,6
素敵,suteki,"lovely, beautiful",listening,6
お兄さん,oniisan,older brother,listening,6
弟さん,otoutosan,younger brother,listening,6
父,chichi,father,listening,6
何人,nannin,how many,listening,6
家族,kazoku,"family, members of a family",listening,6
両親,ryoushin,"parents, both parents",listening,6
兄,ani,older brother,listening,6
一人,hitori,one person,listening,6
姉,ane,older sister,listening,6
見せる,miseru,"to show, to display",listening,7
花瓶,kabin,(flower) vase,listening,7
二番目,nibanme,second (in a series),listening,7
勉強,benkyou,"study, diligence",listening,7
誰か,dareka,"someone, somebody",listening,7
教室,kyoushitsu,classroom,listening,7
授業,jugyou,"lesson, classwork",listening,7
ページ: page,,,listening,7
始める,hajimeru,"to start, to begin",listening,7
どのように: how,,,listening,7
日曜日,nichiyoubi,Sunday,listening,7
花,hana,flower,listening,7
水,mizu,water,listening,7
"きれい: pretty, beautiful, clean",,,listening,7
洗う,arau,to wash,listening,7
銀行,ginkou,bank,listening,7
いらっしゃいませ: welcome (in shops),,,listening,8
お姉さん,oneesan,elder sister,listening,8
あそこ: there,,,listening,8
人,hito,person,listening,8
履く,haku,to put on lower-body clothing,listening,8
眼鏡,megane,"glasses, spectacles",listening,8
会う,au,"to meet, to encounter",listening,8
毎週,maishuu,every week,listening,8
火曜日,kayoubi,Tuesday,listening,8
大丈夫,daijoubu,"all right, okay",listening,8
外,soto,"outside, exterior",listening,8
今朝,kesa,this morning,listening,8
困る,komaru,"to be troubled, to be worried",listening,8
晴れる,hareru,"to clear up, to be sunny",listening,8
歌,uta,song,listening,9
聞く,kiku,"to hear, to listen",listening,9
何時間,nanjikan,how many hours,listening,9
バイオリン: violin,,,listening,9
練習,renshuu,practice,listening,9
上手,jouzu,"skill, skillful",listening,9
"どのくらい: how long, how far",,,listening,9
休み,yasumi,"vacation, holiday, rest",listening,9
"もっと: more, even more, longer",,,listening,9
